"mobility","rho"
"retail_and_recreation",-0.421536637248503
"parks",-0.385220815474194
"transit_stations",-0.2893338786601
"residential",0.288370033889099
"grocery_and_pharmacy",-0.0800169341288921
"workplaces",-0.0684496924118285
